"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 10. April 2018 5:58 PM GMT+1","","Bürgerschaft; Rote Flora, Wohnen und Anti-Armuts-Strategie","","WELT ONLINE (Deutsch)","","",
"","Dienstag 10. April 2018 5:58 PM GMT+1","","Bürgerschaft; Rote Flora, Wohnen und Anti-Armuts-Strategie","","WELT ONLINE (Deutsch)","","",
"","Dienstag 10. April 2018 12:32 PM GMT+1","","Eon stellt großen Solarpark in der Altmark fertig","","WELT ONLINE (Deutsch)","","",
"","Dienstag 10. April 2018 12:32 PM GMT+1","","Eon stellt großen Solarpark in der Altmark fertig","","WELT ONLINE (Deutsch)","","",
"","Montag 9. April 2018 12:42 PM GMT+1","","Lies findet Streit um Kohle-Kommission "absurd"","","WELT ONLINE (Deutsch)","","",
"","Montag 9. April 2018 12:42 PM GMT+1","","Lies findet Streit um Kohle-Kommission "absurd"","","WELT ONLINE (Deutsch)","","",
"","Sonntag 8. April 2018 4:46 PM GMT+1","","Kohleausstieg; Platzt der Kauf des Fernwärmenetzes?","","WELT ONLINE (Deutsch)","","",
"","Sonntag 8. April 2018 4:46 PM GMT+1","","Kohleausstieg; Platzt der Kauf des Fernwärmenetzes?","","WELT ONLINE (Deutsch)","","",
"","Sonntag 8. April 2018 12:22 PM GMT+1","","171 neue Windenergieanlagen in Brandenburg","","WELT ONLINE (Deutsch)","","",
"","Sonntag 8. April 2018 12:22 PM GMT+1","","171 neue Windenergieanlagen in Brandenburg","","WELT ONLINE (Deutsch)","","",
"","Sonntag 8. April 2018 9:40 AM GMT+1","","Windenergieausbau: Kommunale Energieversorger machen Druck","","WELT ONLINE (Deutsch)","","",
"","Sonntag 8. April 2018 9:40 AM GMT+1","","Windenergieausbau: Kommunale Energieversorger machen Druck","","WELT ONLINE (Deutsch)","","",
"","Samstag 7. April 2018 9:01 AM GMT+1","","Senator Horch will Zusammenarbeit mit Japan stärken","","WELT ONLINE (Deutsch)","","",
"","Samstag 7. April 2018 9:01 AM GMT+1","","Senator Horch will Zusammenarbeit mit Japan stärken","","WELT ONLINE (Deutsch)","","",
"","Freitag 6. April 2018 1:51 PM GMT+1","","Hamburgs Wahrzeichen auf der Alster sprudelt wieder","","WELT ONLINE (Deutsch)","","",
"","Freitag 6. April 2018 1:51 PM GMT+1","","Hamburgs Wahrzeichen auf der Alster sprudelt wieder","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 5. April 2018 8:29 PM GMT+1","","Umwelt; Auch im Biodünger lauert Mikroplastik","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 5. April 2018 8:29 PM GMT+1","","Umwelt; Auch im Biodünger lauert Mikroplastik","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 5. April 2018 7:03 PM GMT+1","","Body-Shaming; Warum Dicke nicht für jeden Abnehm-Tipp dankbar sind","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 5. April 2018 7:03 PM GMT+1","","Body-Shaming; Warum Dicke nicht für jeden Abnehm-Tipp dankbar sind","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 5. April 2018 2:43 PM GMT+1","","PNE plant Anleihe in Höhe von 50 Millionen Euro","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 5. April 2018 2:43 PM GMT+1","","PNE plant Anleihe in Höhe von 50 Millionen Euro","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 4. April 2018 5:18 PM GMT+1","","Saubere Mobilität; Hamburg auf den Spuren des Wasserstoffs","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 4. April 2018 5:18 PM GMT+1","","Saubere Mobilität; Hamburg auf den Spuren des Wasserstoffs","","WELT ONLINE (Deutsch)","","",
"","Dienstag 3. April 2018 2:55 PM GMT+1","","Gerber: Braunkohle unverzichtbar für stabile Versorgung","","WELT ONLINE (Deutsch)","","",
"","Dienstag 3. April 2018 2:55 PM GMT+1","","Gerber: Braunkohle unverzichtbar für stabile Versorgung","","WELT ONLINE (Deutsch)","","",
"","Dienstag 3. April 2018 2:52 PM GMT+1","","Castor-Behälter aus Frankreich sollen 2019 nach Philippsburg","","WELT ONLINE (Deutsch)","","",
"","Dienstag 3. April 2018 2:52 PM GMT+1","","Castor-Behälter aus Frankreich sollen 2019 nach Philippsburg","","WELT ONLINE (Deutsch)","","",
"","Dienstag 3. April 2018 7:10 AM GMT+1","","Architektur des Speicherns; Hier ist alles drin, was Sie brauchen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 3. April 2018 7:10 AM GMT+1","","Architektur des Speicherns; Hier ist alles drin, was Sie brauchen","","WELT ONLINE (Deutsch)","","",
"","Montag 2. April 2018 8:18 AM GMT+1","","Alternative Antriebe; Der irre Tanz um die Öko-Bilanz bei E-Autos","","WELT ONLINE (Deutsch)","","",
"","Montag 2. April 2018 8:18 AM GMT+1","","Alternative Antriebe; Der irre Tanz um die Öko-Bilanz bei E-Autos","","WELT ONLINE (Deutsch)","","",
"","Samstag 31. März 2018 12:20 PM GMT+1","","Ostermarsch in Kaiserslautern protestiert gegen Drohnenkrieg","","WELT ONLINE (Deutsch)","","",
"","Samstag 31. März 2018 12:20 PM GMT+1","","Ostermarsch in Kaiserslautern protestiert gegen Drohnenkrieg","","WELT ONLINE (Deutsch)","","",
