"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Freitag 4. Mai 2018 6:43 PM GMT+1","","Gescheiterte Abschiebung; Wie Seehofer die Steilvorlage aus Ellwangen nutzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:59 PM GMT+1","","Abschiebung in Ellwangen; Anwalt des Togoers hält Verhaftung für rechtswidrig","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:59 PM GMT+1","","Abschiebung in Ellwangen; Anwalt des Togoers hält Verhaftung für rechtswidrig","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:55 PM GMT+1","","Gericht lehnte 2017 Antrag gegen Abschiebung des Togoers ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:55 PM GMT+1","","Gericht lehnte 2017 Antrag gegen Abschiebung des Togoers ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:53 PM GMT+1","","Innenminister Pistorius offen für Ankerzentren","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:53 PM GMT+1","","Innenminister Pistorius offen für Ankerzentren","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:43 PM GMT+1","","Nach Ellwangen; Togo-Irrtum - Polizei schiebt versehentlich Kaffeetrinker ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:43 PM GMT+1","","Nach Ellwangen; Togo-Irrtum - Polizei schiebt versehentlich Kaffeetrinker ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:32 PM GMT+1","","Nach Gewalt in Ellwangen sieben Flüchtlinge in U-Haft","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:32 PM GMT+1","","Nach Gewalt in Ellwangen sieben Flüchtlinge in U-Haft","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:02 PM GMT+1","","WM in Dänemark; Deutsche Eishockey-Cracks träumen vom nächsten Wunder","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:02 PM GMT+1","","WM in Dänemark; Deutsche Eishockey-Cracks träumen vom nächsten Wunder","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 4:47 PM GMT+1","","Randale in Ellwangen; Togoer in Abschiebehaft - erste Frist für Rückführung läuft schon bald ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 4:47 PM GMT+1","","Randale in Ellwangen; Togoer in Abschiebehaft - erste Frist für Rückführung läuft schon bald ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 4:02 PM GMT+1","","Ellwangen wird Thema im Innenausschuss des Landtags","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 4:02 PM GMT+1","","Ellwangen wird Thema im Innenausschuss des Landtags","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 3:43 PM GMT+1","","Rechtsanwalt des Asylsuchenden: Verhaftung ist rechtswidrig","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 3:43 PM GMT+1","","Rechtsanwalt des Asylsuchenden: Verhaftung ist rechtswidrig","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:27 PM GMT+1","","Randale in Ellwangen; Togoer in Abschiebehaft - Das droht den aufständischen Asylbewerbern","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:27 PM GMT+1","","Randale in Ellwangen; Togoer in Abschiebehaft - Das droht den aufständischen Asylbewerbern","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:09 PM GMT+1","","Ellwangen und Freising; Demokratie lebt von der Gesetzestreue aller","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:09 PM GMT+1","","Ellwangen; Togoer nach Großrazzia jetzt in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
