"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Donnerstag 26. April 2018 ","","Macrons Rede vor dem US-Kongress: Seitenhieb auf Trump","","Die Welt","","",
"","Donnerstag 26. April 2018 ","","Wachstum: Bundesregierung senkt Prognose; Bruttoinlandsprodukt steigt 2018 nur um 2,3 Prozent","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Ifo-Index setzt seinen Abwärtstrend fort; Die Konjunkturdaten verschlechtern sich erneut. Doch Ökonomen führen den Rückgang auf einmalige Faktoren zurück","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Make Albania great again; Albanien will in die EU, hat aber noch so ein paar Probleme: Korruption und Drogenhandel auf hohem Niveau zum Beispiel. Heute ist Premierminister Edi Rama in Berlin und will Angela Merkel von seinem Reformkurs überzeugen","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Die große Gleichschaltung; Von Aufbruchstimmung ist in Xi Jinpings China nichts zu spüren.Die Ideologen der Kommunistischen Partei geben den Ton an - so stark wie seitvielen Jahren nicht mehr. Medien und Internet werden überwacht, die Bürger indoktriniert","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Pomp für Macron - kalte Schulter für Merkel; In dieser Woche sind sowohl der französische Staatschef als auch die Bundeskanzlerin zu Besuch bei US-Präsident Donald Trump. Der Kontrast zwischen Staatsbesuch und Arbeitsbesuch könnte kaum größer sein","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Wirtschaft Kompakt I; Michael Bloomberg: Millionen für Pariser Klimaabkommen ++ Kundenservice: Verbraucher wollen weniger Chatbots ++ Fresenius: Streit um geplatzte Übernahme ++ Korean Air Lines: Wirbel um Familie des Vorsitzenden","","Die Welt","","",
"","Montag 23. April 2018 ","","Prognosen von Ökonomen werden zur Spekulation","","Die Welt","","",
"","Montag 23. April 2018 ","","Auf den Reifen kommt es an; Die Auswahl des richtigen Sommer-Pneus ist kompliziert. Orientierung bietet das EU-Label. Für manche kommen auch Ganzjahres-Varianten infrage","","Die Welt","","",
"","Montag 23. April 2018 ","","Anleger hoffen auf Hinweise in der Zahlenflut; Trotz vier Wochen mit steigenden Kursen sind Börsianer verunsichert. Die Bilanzsaison soll Orientierung bringen","","Die Welt","","",
"","22. April 2018 ","",""Ich will, dass sich Arbeit lohnt"; Hubertus Heil (SPD) glaubt, dass die Rente trotz alternder und schrumpfender Bevölkerung sicher bleibt, wenn es der Regierung gelingt, Vollbeschäftigung zu schaffen. Außerdem will der Bundesarbeitsminister die Einhaltung des Mindestlohns künftig strenger kontrollieren","","Welt am Sonntag","","",
"","Samstag 21. April 2018 ","",""Trump hat in einigen Dingen nicht unrecht"; Deutschlands Industrie boomt ungeachtet geopolitischer Brandherde. Sie hat keine Angst vor dem US-Präsidenten","","Die Welt","","",
"","Samstag 21. April 2018 ","","Hilfe, wir haben Sanktionitis; Geschäfte machen wir gerne - aber nur mit denen, die sich zu benehmen wissen. Allen anderen drohen Regierungen, Verbraucher und zunehmend auch Unternehmen Sanktionen an. Kann diese Politisierung des Wirtschaftslebens ein gutes Ende nehmen?","","Die Welt","","",
"","Freitag 20. April 2018 ","","Bär schlägt Bulle; Die Anzeichen für ein Ende der jahrelangen Aufwärtsbewegung bei Aktien häufen sich","","Die Welt","","",
"","Donnerstag 19. April 2018 ","","Kims größter Sieg; Erst drohten sich Nordkoreas Machthaber und Donald Trump - nun herrscht Tauwetter. Wie ist es dazu gekommen? Entscheidend war der 29. November vergangenen Jahres","","Die Welt","","",
"","Donnerstag 19. April 2018 ","","Wirtschaft Kompakt I; Trumps Zölle: EU macht keine Zugeständnisse ++ Deutsche Industrie: Auftragsbücher so voll wie nie ++ Frankreich: Gewerkschaft droht Strom abzuschalten ++ Kabelnetze: Hohe Nachfrage nach schnellem Internet","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Peking fühlt sich gut gerüstet für einen Handelskrieg; China verweist auf seine wirtschaftliche Stärke","","Die Welt","","",
