"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Freitag 4. Mai 2018 ","","Lob für die Polizei nach Razzia in Flüchtlingsunterkunft; Innenminister Seehofer nennt Aggressionen von Asylbewerbern in Ellwangen "Schlag ins Gesicht der rechtstreuen Bevölkerung". Polizeiprotokoll belegt Gewaltbereitschaft von bis zu 300 Schwarzafrikanern","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Wie Horst Seehofer die Steilvorlage nutzt; Migration, Integration, Sicherheit und keine Wiederholung von 2015: Der Bundesinnenminister lädt zu seiner ersten großen Pressekonferenz","","Die Welt","","",
"","Donnerstag 3. Mai 2018 ","","Leserbriefe","","Die Welt","","",
"","Donnerstag 3. Mai 2018 ","",""Ich würde meine Heimat mit niemandem tauschen"; Nach der nächsten Landtagswahl schließt die Brandenburger CDU eine Koalition mit der Linkspartei nicht mehr aus. Lesen Sie exklusiv die ersten Sondierungsgespräche - zwischen den Jugendorganisationen beider Parteien","","Die Welt","","",
"","Donnerstag 3. Mai 2018 ","","Übermenschentum ist schwer; In Oskar Roehlers knalliger Film-Satire "HERRliche Zeiten" sollen deutsche Neureiche Brutalität lernen","","Die Welt","","",
"","Donnerstag 3. Mai 2018 ","","Feuilleton Kompakt; "Galileo Galilei": Castorf legt sich wieder mit Brecht an ++ "Das Kapital": Marx gelingt ein kleiner Bestseller ++ Nach drei Jahren: Ai Weiwei will Berlin verlassen ++ Kino: Schauspielerin Elfie Dugal tot","","Die Welt","","",
"","Donnerstag 3. Mai 2018 ","","Migranten verhindern Abschiebung; Polizisten ziehen sich in Ellwangen zurück","","Die Welt","","",
"","Donnerstag 3. Mai 2018 ","","Kann der neue slowakische Premier den Fall Kuciak aufklären?; Das Land befindet sich nach dem Mord an dem Journalisten und seiner Freundin in einer Krise. Regierungschef Pellegrini muss Europas Vertrauen zurückgewinnen","","Die Welt","","",
"","Mittwoch 2. Mai 2018 ","","Leserbriefe","","Die Welt","","",
"","Mittwoch 2. Mai 2018 ","",""Einwanderung überfordert das Asylrecht"; Staatsrechtler Rupert Scholz fordert eine Änderung des Grundgesetzes beim Asylrecht. Er widerspricht der Kanzlerin: Aus "Gründen der Gemeinverträglichkeit" dürfe es eine Obergrenze geben","","Die Welt","","",
